comm_id;parliament_id;comm_name;comm_maintype;comm_subtype;comm_maintype_abb;comm_subtype_abb;seats;comm_start;comm_end
DE_NT-BT_1953__CO|AfKulPol;DE_NT-BT_1953;Ausschuss für Kulturpolitik;CO;NA;AfKulPol;NA;NC;06oct1953;14oct1957
DE_NT-BT_1957__CO|AfKulPolPub;DE_NT-BT_1957;Ausschuss für Kulturpolitik und Publizistik;CO;NA;AfKulPolPub;NA;NC;15oct1957;16oct1961
DE_NT-BT_1961__CO|AfKulPolPub;DE_NT-BT_1961;Ausschuss für Kulturpolitik und Publizistik;CO;NA;AfKulPolPub;NA;NC;17oct1961;18oct1965
DE_NT-BT_1949__CO|AfLaAu;DE_NT-BT_1949;Ausschuss für Lastenausgleich;CO;NA;AfLaAu;NA;NC;07sep1949;05oct1953
DE_NT-BT_1953__CO|AfLaAu;DE_NT-BT_1953;Ausschuss für Lastenausgleich;CO;NA;AfLaAu;NA;NC;06oct1953;14oct1957
DE_NT-BT_1957__CO|AfLaAu;DE_NT-BT_1957;Ausschuss für Lastenausgleich;CO;NA;AfLaAu;NA;NC;15oct1957;16oct1961
DE_NT-BT_1961__CO|AfLaAu;DE_NT-BT_1961;Ausschuss für Lastenausgleich;CO;NA;AfLaAu;NA;NC;17oct1961;18oct1965
DE_NT-BT_1998__CO|SaFinAusg;DE_NT-BT_1998;Sonderausschuss Massstäbegesetz / Finanzausgleichsgesetz;CO;NA;SaFinAusg;NA;NC;26oct1998;16oct2002
DE_NT-BT_1998__CO|AfMeReHuHi;DE_NT-BT_1998;Ausschuss für Menschenrechte und humanitäre Hilfe;CO;NA;AfMeReHuHi;NA;NC;26oct1998;16oct2002
DE_NT-BT_1953__CO|AfSfMiSta;DE_NT-BT_1953;Ausschuss für Sonderfragen des Mittelstandes;CO;NA;AfSfMiSta;NA;NC;06oct1953;14oct1957
DE_NT-BT_1957__CO|AfMiStaF;DE_NT-BT_1957;Ausschuss für Mittelstandsfragen;CO;NA;AfMiStaF;NA;NC;15oct1957;16oct1961
DE_NT-BT_1961__CO|AfMiStaF;DE_NT-BT_1961;Ausschuss für Mittelstandsfragen;CO;NA;AfMiStaF;NA;NC;17oct1961;18oct1965
DE_NT-BT_1998__CO|AfAngNeLa;DE_NT-BT_1998;Ausschuss für Angelegenheiten der neuen Länder;CO;NA;AfAngNeLa;NA;NC;26oct1998;16oct2002
DE_NT-BT_1949__CO|OrgA;DE_NT-BT_1949;Organisationsausschuss;CO;NA;OrgA;NA;NC;07sep1949;05oct1953
DE_NT-BT_1949__CO|AfPaRe;DE_NT-BT_1949;Ausschuss für Patentrecht und gewerblichen Rechtsschutz;CO;NA;AfPaRe;NA;NC;07sep1949;05oct1953
DE_NT-BT_1949__CO|AfPersG;DE_NT-BT_1949;Ausschuss zur Beratung des Personalvertretungsgesetzes ;CO;NA;AfPersG;NA;NC;16mar1953;05oct1953
DE_NT-BT_1949__CO|PetA;DE_NT-BT_1949;Petitionsausschuss;CO;NA;PetA;NA;NC;07sep1949;05oct1953
DE_NT-BT_1953__CO|PetA;DE_NT-BT_1953;Petitionsausschuss;CO;NA;PetA;NA;NC;06oct1953;14oct1957
DE_NT-BT_1957__CO|PetA;DE_NT-BT_1957;Petitionsausschuss;CO;NA;PetA;NA;NC;15oct1957;16oct1961
DE_NT-BT_1961__CO|PetA;DE_NT-BT_1961;Petitionsausschuss;CO;NA;PetA;NA;NC;17oct1961;18oct1965
DE_NT-BT_1965__CO|PetA;DE_NT-BT_1965;Petitionsausschuss;CO;NA;PetA;NA;NC;19oct1965;19oct1969
DE_NT-BT_1969__CO|PetA;DE_NT-BT_1969;Petitionsausschuss;CO;NA;PetA;NA;NC;20oct1969;12dec1972
DE_NT-BT_1972__CO|PetA;DE_NT-BT_1972;Petitionsausschuss;CO;NA;PetA;NA;NC;13dec1972;13dec1976
DE_NT-BT_1976__CO|PetA;DE_NT-BT_1976;Petitionsausschuss;CO;NA;PetA;NA;NC;14dec1976;03nov1980
DE_NT-BT_1980__CO|PetA;DE_NT-BT_1980;Petitionsausschuss;CO;NA;PetA;NA;NC;04nov1980;28mar1983
DE_NT-BT_1983__CO|PetA;DE_NT-BT_1983;Petitionsausschuss;CO;NA;PetA;NA;NC;29mar1983;17feb1987
DE_NT-BT_1987__CO|PetA;DE_NT-BT_1987;Petitionsausschuss;CO;NA;PetA;NA;NC;18feb1987;19dec1990
DE_NT-BT_1990__CO|PetA;DE_NT-BT_1990;Petitionsausschuss;CO;NA;PetA;NA;NC;20dec1990;09nov1994
DE_NT-BT_1994__CO|PetA;DE_NT-BT_1994;Petitionsausschuss;CO;NA;PetA;NA;NC;10nov1994;25oct1998
DE_NT-BT_1998__CO|PetA;DE_NT-BT_1998;Petitionsausschuss;CO;NA;PetA;NA;NC;26oct1998;16oct2002
DE_NT-BT_1949__CO|AfPoTelKo;DE_NT-BT_1949;Ausschuss für Post und Telekommunikation;CO;NA;AfPoTelKo;NA;NC;07sep1949;05oct1953
DE_NT-BT_1953__CO|AfPoTelKo;DE_NT-BT_1953;Ausschuss für Post und Telekommunikation;CO;NA;AfPoTelKo;NA;NC;06oct1953;14oct1957
DE_NT-BT_1965__CO|AfPoTelKo;DE_NT-BT_1965;Ausschuss für Post und Telekommunikation;CO;NA;AfPoTelKo;NA;NC;19oct1965;19oct1969
DE_NT-BT_1980__CO|AfPoTelKo;DE_NT-BT_1980;Ausschuss für Post und Telekommunikation;CO;NA;AfPoTelKo;NA;NC;04nov1980;28mar1983
DE_NT-BT_1983__CO|AfPoTelKo;DE_NT-BT_1983;Ausschuss für Post und Telekommunikation;CO;NA;AfPoTelKo;NA;NC;29mar1983;17feb1987
DE_NT-BT_1987__CO|AfPoTelKo;DE_NT-BT_1987;Ausschuss für Post und Telekommunikation;CO;NA;AfPoTelKo;NA;NC;18feb1987;19dec1990
DE_NT-BT_1990__CO|AfPoTelKo;DE_NT-BT_1990;Ausschuss für Post und Telekommunikation;CO;NA;AfPoTelKo;NA;NC;20dec1990;09nov1994
DE_NT-BT_1994__CO|AfPoTelKo;DE_NT-BT_1994;Ausschuss für Post und Telekommunikation;CO;NA;AfPoTelKo;NA;NC;10nov1994;25oct1998
DE_NT-BT_1949__CO|AfPreRuFuFil;DE_NT-BT_1949;Ausschuss für Fragen der Presse, des Rundfunks und des Films;CO;NA;AfPreRuFuFil;NA;NC;07sep1949;05oct1953
DE_NT-BT_1953__CO|AfPreRuFuFil;DE_NT-BT_1953;Ausschuss für Fragen der Presse, des Rundfunks und des Films;CO;NA;AfPreRuFuFil;NA;NC;06oct1953;14oct1957
DE_NT-BT_1972__CO|AfRaOBwStB;DE_NT-BT_1972;Ausschuss für Raumordnung, Bauwesen und Städtebau;CO;NA;AfRaOBwStB;NA;NC;13dec1972;13dec1976
DE_NT-BT_1976__CO|AfRaOBwStB;DE_NT-BT_1976;Ausschuss für Raumordnung, Bauwesen und Städtebau;CO;NA;AfRaOBwStB;NA;NC;14dec1976;03nov1980
DE_NT-BT_1980__CO|AfRaOBwStB;DE_NT-BT_1980;Ausschuss für Raumordnung, Bauwesen und Städtebau;CO;NA;AfRaOBwStB;NA;NC;04nov1980;28mar1983
DE_NT-BT_1983__CO|AfRaOBwStB;DE_NT-BT_1983;Ausschuss für Raumordnung, Bauwesen und Städtebau;CO;NA;AfRaOBwStB;NA;NC;29mar1983;17feb1987
DE_NT-BT_1987__CO|AfRaOBwStB;DE_NT-BT_1987;Ausschuss für Raumordnung, Bauwesen und Städtebau;CO;NA;AfRaOBwStB;NA;NC;18feb1987;19dec1990
DE_NT-BT_1990__CO|AfRaOBwStB;DE_NT-BT_1990;Ausschuss für Raumordnung, Bauwesen und Städtebau;CO;NA;AfRaOBwStB;NA;NC;20dec1990;09nov1994
DE_NT-BT_1994__CO|AfRaOBwStB;DE_NT-BT_1994;Ausschuss für Raumordnung, Bauwesen und Städtebau;CO;NA;AfRaOBwStB;NA;NC;10nov1994;25oct1998
DE_NT-BT_1949__CO|ReA;DE_NT-BT_1949;Rechtsausschuss;CO;NA;ReA;NA;NC;07sep1949;05oct1953
DE_NT-BT_1953__CO|ReA;DE_NT-BT_1953;Rechtsausschuss;CO;NA;ReA;NA;NC;06oct1953;14oct1957
DE_NT-BT_1957__CO|ReA;DE_NT-BT_1957;Rechtsausschuss;CO;NA;ReA;NA;NC;15oct1957;16oct1961
DE_NT-BT_1961__CO|ReA;DE_NT-BT_1961;Rechtsausschuss;CO;NA;ReA;NA;NC;17oct1961;18oct1965
DE_NT-BT_1965__CO|ReA;DE_NT-BT_1965;Rechtsausschuss;CO;NA;ReA;NA;NC;19oct1965;19oct1969
DE_NT-BT_1969__CO|ReA;DE_NT-BT_1969;Rechtsausschuss;CO;NA;ReA;NA;NC;20oct1969;12dec1972
DE_NT-BT_1972__CO|ReA;DE_NT-BT_1972;Rechtsausschuss;CO;NA;ReA;NA;NC;13dec1972;13dec1976
DE_NT-BT_1976__CO|ReA;DE_NT-BT_1976;Rechtsausschuss;CO;NA;ReA;NA;NC;14dec1976;03nov1980
DE_NT-BT_1980__CO|ReA;DE_NT-BT_1980;Rechtsausschuss;CO;NA;ReA;NA;NC;04nov1980;28mar1983
DE_NT-BT_1983__CO|ReA;DE_NT-BT_1983;Rechtsausschuss;CO;NA;ReA;NA;NC;29mar1983;17feb1987
